,,Win,,Cover,,Total Points,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet
Broncos,2023-10-12 20:15:00,260,52.00,7.0,20.00,,
Chiefs,2023-10-12 20:15:00,-325,6.15,-7.0,16.67,,
Ravens,2023-10-15 09:30:00,-218,9.17,-5.5,18.18,42.0,18.18
Titans,2023-10-15 09:30:00,190,38.00,5.5,18.18,42.0,18.18
Commanders,2023-10-15 13:00:00,110,22.00,2.5,18.18,,
Falcons,2023-10-15 13:00:00,-130,15.38,-2.5,18.18,,
Vikings,2023-10-15 13:00:00,-110,18.18,-1.0,19.05,,
Bears,2023-10-15 13:00:00,-110,18.18,1.0,17.39,,
Seahawks,2023-10-15 13:00:00,164,32.80,4.5,18.18,,
Bengals,2023-10-15 13:00:00,-198,10.10,-4.5,18.18,,
49ers,2023-10-15 13:00:00,-115,17.39,-1.0,18.18,,
Browns,2023-10-15 13:00:00,-105,19.05,1.0,18.18,,
Saints,2023-10-15 13:00:00,-148,13.51,-3.0,18.18,,
Texans,2023-10-15 13:00:00,124,24.80,3.0,18.18,,
Colts,2023-10-15 13:00:00,210,42.00,6.5,18.18,,
Jaguars,2023-10-15 13:00:00,-258,7.75,-6.5,18.18,,
Panthers,2023-10-15 13:00:00,235,47.00,7.0,18.18,,
Dolphins,2023-10-15 13:00:00,-290,6.90,-7.0,18.18,,
Lions,2023-10-15 13:00:00,-175,11.43,-3.5,18.18,,
Buccaneers,2023-10-15 13:00:00,145,29.00,3.5,18.18,,
Patriots,2023-10-15 16:05:00,-105,19.05,1.0,18.18,,
Raiders,2023-10-15 16:05:00,-115,17.39,-1.0,18.18,,
Cardinals,2023-10-15 16:25:00,154,30.80,4.0,18.18,,
Rams,2023-10-15 16:25:00,-185,10.81,-4.0,18.18,,
Eagles,2023-10-15 16:25:00,-115,17.39,-1.0,18.18,,
Jets,2023-10-15 16:25:00,-105,19.05,1.0,18.18,,
Giants,2023-10-15 20:20:00,240,48.00,7.0,18.18,,
Bills,2023-10-15 20:20:00,-298,6.71,-7.0,18.18,,
Cowboys,2023-10-16 20:15:00,-105,19.05,1.0,18.18,,
Chargers,2023-10-16 20:15:00,-115,17.39,-1.0,18.18,,
